Statistic Label,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded crime incidents,2023Q1,30 Eastern Region,Light rail offences (Luas) (1443),Number,0
Recorded crime incidents,2023Q1,30 Eastern Region,"Offences against government, justice procedures and organisation of crime (15)",Number,680
Recorded crime incidents,2023Q1,30 Eastern Region,Offences against government and its agents (151),Number,17
Recorded crime incidents,2023Q1,30 Eastern Region,Organisation of crime and conspiracy to commit crime (152),Number,2
Recorded crime incidents,2023Q1,30 Eastern Region,Perverting the course of justice (153),Number,2
Recorded crime incidents,2023Q1,30 Eastern Region,"Offences while in custody, breach of court orders (157)",Number,659
Recorded crime incidents,2023Q1,30 Eastern Region,Offences not elsewhere classified (16),Number,93
Recorded crime incidents,2023Q1,40 Southern Region,Homicide & related offences (01),Number,5
Recorded crime incidents,2023Q1,40 Southern Region,Murder (0111),Number,3
Recorded crime incidents,2023Q1,40 Southern Region,Manslaughter (0112),Number,0
Recorded crime incidents,2023Q1,40 Southern Region,Infanticide (0113),Number,0
Recorded crime incidents,2023Q1,40 Southern Region,Dangerous driving leading to death (012),Number,2
Recorded crime incidents,2023Q1,40 Southern Region,Sexual offences (02),Number,203
Recorded crime incidents,2023Q1,40 Southern Region,Rape and sexual assault (021),Number,171
Recorded crime incidents,2023Q1,40 Southern Region,Other sexual offences (022),Number,32
Recorded crime incidents,2023Q1,40 Southern Region,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,1275
Recorded crime incidents,2023Q1,40 Southern Region,Murder-attempt (0311),Number,0
Recorded crime incidents,2023Q1,40 Southern Region,Threat to kill or cause serious harm (0313),Number,98
Recorded crime incidents,2023Q1,40 Southern Region,Harassment and related offences (033),Number,137
Recorded crime incidents,2023Q1,40 Southern Region,"Assault causing harm, poisoning (034)",Number,258
Recorded crime incidents,2023Q1,40 Southern Region,Other assault (035),Number,782
Recorded crime incidents,2023Q1,40 Southern Region,Dangerous or negligent acts (04),Number,2416
Recorded crime incidents,2023Q1,40 Southern Region,Dangerous driving causing serious bodily harm (0411),Number,4
Recorded crime incidents,2023Q1,40 Southern Region,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",Number,440
Recorded crime incidents,2023Q1,40 Southern Region,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,339
Recorded crime incidents,2023Q1,40 Southern Region,Driving/in charge of a vehicle under the influence of drugs (0413),Number,101
Recorded crime incidents,2023Q1,40 Southern Region,Dangerous/careless driving and motorway offences (0414),Number,278
Recorded crime incidents,2023Q1,40 Southern Region,Speeding (0415),Number,1657
Recorded crime incidents,2023Q1,40 Southern Region,Endangerment with potential for serious harm/death (0421),Number,10
